market_type,instrument_type,exchange_code,stock_code,standard_code,stock_name,stock_name_en,currency_code,etf_yn,nxt_yn
KOSPI,STOCK,KRX,005830,KR7005830005,DB손해보험,,KRW,N,N
KOSPI,STOCK,KRX,005850,KR7005850003,에스엘,,KRW,N,N
KOSPI,STOCK,KRX,005870,KR7005870001,휴니드,,KRW,N,N
KOSPI,STOCK,KRX,005880,KR7005880000,대한해운,,KRW,N,N
KOSPI,STOCK,KRX,005930,KR7005930003,삼성전자,,KRW,N,N
KOSPI,STOCK,KRX,005935,KR7005931001,삼성전자우,,KRW,N,N
KOSPI,STOCK,KRX,005940,KR7005940002,NH투자증권,,KRW,N,N
KOSPI,STOCK,KRX,005945,KR7005941000,NH투자증권우,,KRW,N,N
KOSPI,STOCK,KRX,005950,KR7005950001,이수화학,,KRW,N,N
KOSPI,STOCK,KRX,005960,KR7005960000,동부건설,,KRW,N,N
KOSPI,STOCK,KRX,005965,KR7005961008,동부건설우,,KRW,N,N
KOSPI,STOCK,KRX,006040,KR7006040000,동원산업,,KRW,N,N
KOSPI,STOCK,KRX,006060,KR7006060008,화승인더,,KRW,N,N
KOSPI,STOCK,KRX,006090,KR7006090005,사조오양,,KRW,N,N
KOSPI,STOCK,KRX,006110,KR7006110001,삼아알미늄,,KRW,N,N
KOSPI,STOCK,KRX,006120,KR7006120000,SK디스커버리,,KRW,N,N
KOSPI,STOCK,KRX,006125,KR7006121008,SK디스커버리우,,KRW,N,N
KOSPI,STOCK,KRX,006200,KR7006200000,한국전자홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,006220,KR7006220008,제주은행,,KRW,N,N
KOSPI,STOCK,KRX,006260,KR7006260004,LS,,KRW,N,N
KOSPI,STOCK,KRX,006280,KR7006280002,녹십자,,KRW,N,N
KOSPI,STOCK,KRX,006340,KR7006340004,대원전선,,KRW,N,N
KOSPI,STOCK,KRX,006345,KR7006341002,대원전선우,,KRW,N,N
KOSPI,STOCK,KRX,006360,KR7006360002,GS건설,,KRW,N,N
KOSPI,STOCK,KRX,006370,KR7006370001,대구백화점,,KRW,N,N
KOSPI,STOCK,KRX,006380,KR7006380000,카프로,,KRW,N,N
KOSPI,STOCK,KRX,006400,KR7006400006,삼성SDI,,KRW,N,N
KOSPI,STOCK,KRX,006405,KR7006401004,삼성SDI우,,KRW,N,N
KOSPI,STOCK,KRX,006490,KR7006490007,인스코비,,KRW,N,N
KOSPI,STOCK,KRX,006570,KR7006570006,대림통상,,KRW,N,N
KOSPI,STOCK,KRX,006650,KR7006650006,대한유화,,KRW,N,N
KOSPI,STOCK,KRX,006660,KR7006660005,삼성공조,,KRW,N,N
KOSPI,STOCK,KRX,006740,KR7006740005,블루산업개발,,KRW,N,N
KOSPI,STOCK,KRX,006800,KR7006800007,미래에셋증권,,KRW,N,N
KOSPI,STOCK,KRX,006805,KR7006801005,미래에셋증권우,,KRW,N,N
KOSPI,STOCK,KRX,006840,KR7006840003,AK홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,006880,KR7006880009,신송홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,006890,KR7006890008,태경케미컬,,KRW,N,N
KOSPI,STOCK,KRX,006980,KR7006980007,우성,,KRW,N,N
KOSPI,STOCK,KRX,007070,KR7007070006,GS리테일,,KRW,N,N
KOSPI,STOCK,KRX,007110,KR7007110000,일신석재,,KRW,N,N
KOSPI,STOCK,KRX,007120,KR7007120009,미래아이앤지,,KRW,N,N
KOSPI,STOCK,KRX,007160,KR7007160005,사조산업,,KRW,N,N
KOSPI,STOCK,KRX,007210,KR7007210008,벽산,,KRW,N,N
KOSPI,STOCK,KRX,007280,KR7007280001,한국특강,,KRW,N,N
KOSPI,STOCK,KRX,007310,KR7007310006,오뚜기,,KRW,N,N
KOSPI,STOCK,KRX,007340,KR7007340003,DN오토모티브,,KRW,N,N
KOSPI,STOCK,KRX,007460,KR7007460009,에이프로젠,,KRW,N,N
KOSPI,STOCK,KRX,007540,KR7007540008,샘표,,KRW,N,N
KOSPI,STOCK,KRX,007570,KR7007570005,일양약품,,KRW,N,N
KOSPI,STOCK,KRX,007575,KR7007571003,일양약품우,,KRW,N,N
KOSPI,STOCK,KRX,007590,KR7007590003,동방아그로,,KRW,N,N
KOSPI,STOCK,KRX,007610,KR7007610009,선도전기,,KRW,N,N
KOSPI,STOCK,KRX,007660,KR7007660004,이수페타시스,,KRW,N,N
KOSPI,STOCK,KRX,007690,KR7007690001,국도화학,,KRW,N,N
KOSPI,STOCK,KRX,007700,KR7007700008,F&F홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,007810,KR7007810005,코리아써키트,,KRW,N,N
KOSPI,STOCK,KRX,007815,KR7007811003,코리아써우,,KRW,N,N
